transaction_id,date,month,year,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method
TXN-2024-10-000001,18-10-2024,10,2024,North,SP-006,Nisha Handa,Clothing,Formal Shirt,B2C,CUST-920400,4,1243.4,20,4973.6,994.72,-3978.88,559.53,2238.12,-1740.76,-43.75,33333.33,True,Cash
TXN-2024-10-000002,17-10-2024,10,2024,East,SP-036,Janani Hari,Home Goods,Dinner Set 24pc,B2B,CUST-371190,46,3303.34,10,151953.64,15195.36,136758.28,1717.74,79016.04,57742.24,42.22,38181.82,False,Bank Transfer
TXN-2024-10-000003,21-10-2024,10,2024,North,SP-006,Nisha Handa,Sports,Cycling Helmet,B2C,CUST-512825,1,1852.12,10,1852.12,185.21,1666.91,926.06,926.06,740.85,44.44,33333.33,False,UPI
TXN-2024-10-000004,15-10-2024,10,2024,North,SP-015,Vidhi Thaman,Clothing,Winter Jacket,B2C,CUST-533913,3,4366.47,15,13099.41,1964.91,11134.5,2095.91,6287.73,4846.77,43.53,33333.33,False,Credit Card
TXN-2024-10-000005,07-10-2024,10,2024,NORTH,SP-016,Tristan Balakrishnan,Electronics,Tablet Air,B2C,CUST-216947,2,24106.17,10,48212.34,4821.23,43391.11,15186.89,30373.78,13017.33,30.0,33333.33,False,Credit Card
TXN-2024-10-000006,03-10-2024,10,2024,South,SP-024,Jyoti Mangal,Electronics,Smart Watch,B2B,CUST-716427,31,8225.56,15,254992.36,38248.85,216743.51,4770.82,147895.42,68848.09,31.76,36000.0,False,Bank Transfer
TXN-2024-10-000007,15-10-2024,10,2024,South,SP-020,Yashica Swamy,Home Goods,Wall Clock,B2C,CUST-521900,5,869.24,15,4346.2,651.93,3694.27,391.16,1955.8,1738.47,47.06,36000.0,False,Credit Card
TXN-2024-10-000008,25-10-2024,10,2024,South,SP-024,Jyoti Mangal,Electronics,Tablet Air,B2B,CUST-858799,41,24905.31,10,1021117.71,102111.77,919005.94,15690.35,643304.35,275701.59,30.0,36000.0,False,UPI
TXN-2024-10-000009,09-10-2024,10,2024,North,SP-009,Manan Shere,Electronics,Smartphone Y7,B2C,CUST-486479,4,17662.14,15,70648.56,10597.28,60051.28,10597.28,42389.12,17662.16,29.41,33333.33,False,Credit Card
TXN-2024-10-000010,28-10-2024,10,2024,North,SP-016,Tristan Balakrishnan,Clothing,Ethnic Kurta,B2C,CUST-785586,2,1872.42,15,3744.84,561.73,3183.11,748.97,1497.94,1685.17,52.94,33333.33,False,Credit Card
TXN-2024-10-000011,22-10-2024,10,2024,North,SP-014,Anay Merchant,Automotive,Jump Starter Pack,B2C,CUST-877564,1,6208.83,10,6208.83,620.88,5587.95,3725.3,3725.3,1862.65,33.33,33333.33,False,Credit Card
TXN-2024-10-000012,24-10-2024,10,2024,East,SP-040,Bhavna Bawa,Beauty,Hair Dryer Pro,B2B,CUST-665037,29,2898.79,10,84064.91,8406.49,75658.42,1594.33,46235.57,29422.85,38.89,38181.82,False,Bank Transfer
TXN-2024-10-000013,01-10-2024,10,2024,North,SP-007,Pallavi Chakrabarti,Clothing,Casual Sneakers,B2B,CUST-133946,12,2729.51,20,32754.12,6550.82,26203.3,1255.57,15066.84,11136.46,42.5,33333.33,False,Bank Transfer
TXN-2024-10-000014,18-10-2024,10,2024,East,SP-034,Faraj Kara,Home Goods,Dinner Set 24pc,B2C,CUST-615144,2,3324.26,15,6648.52,997.28,5651.24,1728.62,3457.24,2194.0,38.82,38181.82,False,Bank Transfer
TXN-2024-10-000015,11-10-2024,10,2024,East,SP-041,Zansi Buch,Clothing,Saree Silk,B2C,CUST-493624,3,3348.49,15,10045.47,1506.82,8538.65,1439.85,4319.55,4219.1,49.41,38181.82,False,UPI
TXN-2024-10-000016,01-10-2024,10,2024,South,SP-021,Faras Pai,Sports,Swimming Goggles,B2C,CUST-761757,1,985.5,5,985.5,49.28,936.22,443.48,443.48,492.74,52.63,36000.0,False,UPI
