transaction_id,txn_date,month,year,yearmonth,region,salesperson_id,salesperson_name,product_category,product_name,customer_segment,customer_id,units_sold,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cost_per_unit,total_cost,gross_profit,profit_margin_pct,monthly_target,return_flag,payment_method,source_file,loaded_at
TXN-2022-03-000004,2022-03-08,3,2022,2022-03,South,SP-031,Garima Jhaveri,Sports,Fitness Band,B2C,CUST-844708,4,2426.61,0.0,9706.44,0.0,9706.44,1334.64,5338.56,4367.88,45.0,30000.0,false,UPI,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000009,2022-03-22,3,2022,2022-03,North,SP-009,Manan Shere,Clothing,Casual Sneakers,B2B,CUST-232372,15,2911.18,10.0,43667.7,4366.77,39300.93,1339.14,20087.1,19213.83,48.89,27777.78,false,Bank Transfer,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000010,2022-03-16,3,2022,2022-03,East,SP-034,Faraj Kara,Automotive,Car Vacuum Cleaner,B2B,CUST-982844,9,2852.51,10.0,25672.59,2567.26,23105.33,1483.31,13349.79,9755.54,42.22,31818.18,false,Credit Card,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000017,2022-03-02,3,2022,2022-03,North,SP-008,Hitesh Anand,Clothing,Ethnic Kurta,B2C,CUST-467583,1,1878.37,0.0,1878.37,0.0,1878.37,751.35,751.35,1127.02,60.0,27777.78,false,UPI,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000032,2022-03-08,3,2022,2022-03,North,SP-016,Tristan Balakrishnan,Electronics,Wireless Earbuds,B2C,CUST-805284,2,3636.49,0.0,7272.98,0.0,7272.98,2109.16,4218.32,3054.66,42.0,27777.78,false,Credit Card,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000037,2022-03-23,3,2022,2022-03,North,SP-001,Ekta Halder,Electronics,Smart Watch,B2C,CUST-415169,4,8676.42,0.0,34705.68,0.0,34705.68,5032.32,20129.28,14576.4,42.0,27777.78,false,UPI,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000046,2022-03-10,3,2022,2022-03,South,SP-028,Aadhya Agrawal,Home Goods,Air Purifier,B2B,CUST-400383,30,12138.49,5.0,364154.7,18207.74,345946.97,7283.09,218492.7,127454.26,36.84,30000.0,false,Credit Card,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000048,2022-03-01,3,2022,2022-03,North,SP-013,Garima Bhasin,Beauty,Hair Dryer Pro,B2C,CUST-257334,1,2819.21,10.0,2819.21,281.92,2537.29,1550.57,1550.57,986.72,38.89,27777.78,false,UPI,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000054,2022-03-28,3,2022,2022-03,South,SP-026,Adweta Nayar,Electronics,Wireless Earbuds,B2C,CUST-977500,3,3402.43,0.0,10207.29,0.0,10207.29,1973.41,5920.23,4287.06,42.0,30000.0,false,Cash,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
TXN-2022-03-000056,2022-03-31,3,2022,2022-03,East,SP-043,Qasim Pradhan,Electronics,Bluetooth Speaker,B2B,CUST-639902,15,2832.53,20.0,42487.95,8497.59,33990.36,1557.89,23368.35,10622.01,31.25,31818.18,false,Bank Transfer,2022_03_sales.csv,2026-07-04T12:08:18.820+05:30
